TIME_STAMP,Lon,Lat,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving RSRP [dBm],LTE KPI PCell Serving RSRQ [dB],LTE KPI PCell Serving RSSI [dBm],LTE KPI PCell SINR [dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL Modulation0,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PDSCH BLER [%],LTE KPI PCell PDSCH Throughput [Mbps],LTE KPI PCell MAC DL Throughput [Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER [%],LTE KPI PDSCH Throughput [Mbps],LTE KPI MAC DL Throughput [Mbps],LTE KPI RLC DL Throughput [Mbps],LTE KPI RLC UL Throughput [Mbps],LTE KPI PDCP DL Throughput [Mbps],LTE KPI PDCP UL Throughput [Mbps],LTE KPI CA Type,LTE KPI Band Combination,LTE KPI PCell SINR(<6dB) [%],LTE KPI PCell SINR(>20dB) [%],Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier Tx Mode,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier PUSCH Reporting Mode,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier Rank Index,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier RI1 Rate,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier RI2 Rate,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier RI3 Rate,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier RI4 Rate,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier WideBand CQI CW0,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier CRI,Qualcomm Lte/LteAdv Channel Quality Info Pri. Component Carrier CSI Meas Set Index,Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num(Mode),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num(Avg),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num(Including 0),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num TB0(Including 0),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num TB1(Including 0),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell RB Num(Sum),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Number of Allocated TTIs,Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Number of Total TTIs,Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Layer Num(Mode),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Layer Num(Avg),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell MCS Idx0(Avg),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell MCS Idx0(Mode),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Code Rate Idx0(Avg),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Modulation Idx0,Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell Modulation (Total),Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell DL Unallocated RB Share [%],Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell DL RB Share [%],Qualcomm Lte/LteAdv ML1 Downlink Info(Unicast) PCell TB Size(Avg) [Bytes],Qualcomm Lte/LteAdv PDSCH BLER Info Total Info Total BLER [%],Qualcomm Lte/LteAdv PDSCH BLER Info Total Info Total BLER CRC Pass Count,Qualcomm Lte/LteAdv PDSCH BLER Info Total Info Total BLER CRC Fail Count,Qualcomm Lte/LteAdv PDSCH BLER Info Total Info BLER CW0 [%],Qualcomm Lte/LteAdv PDSCH BLER Info Total Info BLER CW0 CRC Pass Count,Qualcomm Lte/LteAdv PDSCH BLER Info Total Info BLER CW0 CRC Fail Count
2025-06-06 15:18:05.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-90.31,-7.25,-63.00,32.44,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,2.01,74.839,74.538,99.51,99.50,2.01,74.839,74.538,0.000,,0.000,,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,73428,738,738,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9354.833,2.01,146,3,2.01,146,3,
2025-06-06 15:18:06.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-90.31,-7.26,-63.00,32.43,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,1.03,74.844,74.689,99.52,99.50,1.03,74.844,74.689,0.000,,0.000,,NonCA,Band 28,0.00,98.96,,,,,,,,,,,100,99.50,99.50,99.50,0.00,96516,970,970,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.512,1.03,192,2,1.03,192,2,
2025-06-06 15:18:07.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-90.31,-7.25,-63.00,32.49,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.48,74.846,74.773,99.51,99.50,0.48,74.846,74.773,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,103184,1037,1037,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.696,0.48,208,1,0.48,208,1,
2025-06-06 15:18:08.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-90.31,-7.25,-63.00,32.52,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.00,74.840,74.840,99.52,99.50,0.00,74.840,74.840,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,96512,970,970,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9354.963,0.00,193,0,0.00,193,0,
2025-06-06 15:18:09.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-90.31,-7.25,-63.00,32.34,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.48,74.842,74.770,99.52,99.50,0.48,74.842,74.770,0.000,,0.000,,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,103380,1039,1039,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.311,0.48,207,1,0.48,207,1,
2025-06-06 15:18:10.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-84.57,-6.91,-57.62,34.56,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,1.54,74.844,74.604,99.51,99.50,1.54,74.844,74.604,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,94028,945,945,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.446,1.54,192,3,1.54,192,3,
2025-06-06 15:18:11.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-70.74,-7.25,-43.48,39.67,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.00,74.842,74.842,99.52,99.50,0.00,74.842,74.842,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,103380,1039,1039,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.311,0.00,208,0,0.00,208,0,
2025-06-06 15:18:12.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-70.75,-7.25,-43.47,39.71,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.00,74.844,74.844,99.52,99.50,0.00,74.844,74.844,0.000,,0.000,,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,96516,970,970,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.512,0.00,192,0,0.00,192,0,
2025-06-06 15:18:13.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-70.75,-7.26,-43.46,39.72,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.00,74.846,74.846,99.51,99.50,0.00,74.846,74.846,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,103184,1037,1037,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.696,0.00,208,0,0.00,208,0,
2025-06-06 15:18:14.000000,,,LTE Qualcomm,1,Band 28,9560,27560,-70.75,-7.25,-43.47,39.68,,,,,,,,1x2,28.00,64QAM,99.50,99.50,99.50,0.00,0.00,74.842,74.842,99.52,99.50,0.00,74.842,74.842,0.000,0.000,0.000,0.000,NonCA,Band 28,0.00,100.00,,,,,,,,,,,100,99.50,99.50,99.50,0.00,103380,1039,1039,1,1.00,28.00,28,0.000,64QAM,64QAM,0.00,100.00,9355.311,0.00,208,0,0.00,208,0,
